age,race,years_educ,union_status,smsa_size,region,weekly_earn
33,1,18,1,1,1,720
48,1,12,2,1,1,999
30,1,12,1,1,1,315
26,1,16,2,1,1,500
55,1,12,1,1,1,450
34,1,8,2,1,1,800
29,1,18,2,1,1,600
22,1,12,2,1,1,280
39,1,12,2,1,1,400
33,1,12,1,1,1,894
30,1,16,2,1,1,840
25,3,12,1,1,1,320
62,3,18,1,1,1,654
28,3,16,2,1,1,500
24,1,16,2,1,1,404
27,1,12,2,1,1,443
42,2,14,2,1,1,500
51,1,11,1,1,1,440
59,1,12,1,1,1,656
32,1,12,1,1,1,508
46,1,16,2,1,1,999
42,1,12,1,1,1,460
24,2,12,2,1,1,240
25,2,13,1,1,1,220
26,1,12,2,1,1,320
24,1,12,1,1,1,460
40,1,15,2,1,1,500
30,1,16,2,1,1,700
31,1,18,2,1,1,999
61,1,12,2,1,1,700
47,1,18,1,1,1,770
51,1,12,2,1,1,600
40,1,16,2,1,1,999
26,1,18,2,1,1,500
35,1,14,2,1,1,680
29,1,12,2,1,1,999
45,1,16,2,1,1,450
57,1,14,2,1,1,600
46,1,10,1,1,1,240
29,3,12,2,1,1,200
38,1,12,2,3,1,220
27,3,3,2,1,1,500
44,1,12,1,1,1,850
36,1,16,2,1,1,700
38,1,12,2,1,1,300
29,1,17,2,2,3,650
34,1,16,2,3,3,312
25,1,16,2,2,3,583
23,1,12,2,2,3,300
22,1,9,2,3,3,338
48,1,5,2,3,3,234
59,1,10,2,2,3,240
34,1,12,2,2,3,458
35,1,15,2,3,3,200
34,1,14,2,2,3,431
42,1,12,2,3,3,400
31,1,12,1,3,3,540
21,1,12,2,3,3,270
23,1,11,1,3,3,210
24,1,14,2,2,3,615
64,1,14,2,2,3,320
21,1,12,2,3,3,225
23,1,10,2,3,3,220
27,3,17,2,2,3,530
28,1,17,2,2,3,460
30,1,12,2,2,3,400
48,2,15,2,3,3,850
48,1,12,2,2,3,350
51,1,12,2,3,3,596
21,1,14,2,3,3,999
42,1,16,2,2,3,999
32,1,16,2,3,3,369
