gvkey	year	gvkey	year	Y	K	L	M	VA	i	naics_4digit
012945	2000	012945	2000	495.98403114586426	100.35864767255217	5.6	279.637995314923	216.34603583094128	50.132051732541406	3344
012945	2001	012945	2001	785.2979877877493	184.15626495820905	5.6	532.1522243742331	253.14576341351622	61.705496494005885	3344
012945	2002	012945	2002	682.4770217038696	272.19111922725745	5.7	452.96215339460883	229.51486830926078	34.25046487545792	3344
012945	2003	012945	2003	656.8047481604942	335.4665898617512	4.8	465.45973413553395	191.3450140249603	24.621141253507954	3344
012945	2004	012945	2004	878.7542107440457	284.57091688108545	6.0	599.1911994394115	279.56301130463413	19.61626481849044	3344
012945	2005	012945	2005	1074.3759890191554	301.3930607664668	6.8	734.7578706253662	339.61811839378913	22.973530750261943	3344
012945	2006	012945	2006	1325.995024875622	321.57600625687184	7.8	867.7909721465666	458.2040527290553	36.19442108650742	3344
012945	2007	012945	2007	1464.1819593583698	343.820772360949	7.5	982.1719409882013	482.01001837016844	48.52410127404041	3344
012945	2008	012945	2008	1810.9089836375078	392.0281559230586	7.9	1256.3886485210824	554.5203351164254	53.9797510109591	3344
012945	2009	012945	2009	1616.622	436.9135942094549	7.1	1130.9177	485.7043000000001	57.427	3344
012945	2010	012945	2010	2036.7339713112267	473.68971929316666	8.7	1392.2681934974814	644.4657778137454	73.70478211518532	3344
012945	2011	012945	2011	2296.9476729223074	544.3471083475486	9.0	1596.7191344362207	700.2285384860867	71.60220460259137	3344
012945	2012	012945	2012	2372.6196476142477	597.4927767841078	9.6	1617.5158141592008	755.1038334550467	60.435306507775366	3344
012945	2013	012945	2013	2285.675742218757	613.9836183001651	9.2	1559.1144668540594	726.5612753646976	101.47726846116305	3344
012945	2014	012945	2014	2428.6929526260424	710.3086362079168	12.0	1493.812485320098	934.8804673059446	60.26178300441229	3344
012947	1998	012947	1998	19.43947166518737	11.699647672786034	0.085	13.954816241180632	5.484655424006737	0.48237608742029536	3254
012947	1999	012947	1999	18.405708032917126	12.23741026252351	0.093	14.154118387720535	4.2515896451965896	0.4928599995294892	3254
012947	2000	012947	2000	20.85083283334762	12.79371638983814	0.097	16.68847747207223	4.162355361275392	0.48652866388213156	3254
012947	2001	012947	2001	22.432367728034475	9.861687950419853	0.094	19.99875227083891	2.433615457195566	0.4257510729613734	3254
012947	2002	012947	2002	9.685627049643786	9.150073102252584	0.041	9.767645312676693	-0.08201826303290667	0.023931078493937462	3254
012947	2003	012947	2003	9.797603736546403	9.289808381529067	0.042	8.09385771339606	1.7037460231503423	0.024842195598414614	3254
012992	1998	012992	1998	291.90539262062435	26.642069116680066	1.091	215.69341028066853	76.21198233995584	2.2910721565430086	3332
012992	1999	012992	1999	290.4264610470629	27.080441294659167	1.057	217.5259682088137	72.90049283824922	2.6926626672819567	3332
012992	2000	012992	2000	245.8036808297338	22.77264413709012	1.044	180.2009183509289	65.60276247880488	3.2897044017330903	3332
012992	2001	012992	2001	225.05975363118222	18.60429465938705	1.002	171.66643623215055	53.39331739903168	2.8319697923222154	3332
012992	2002	012992	2002	220.72031472662388	12.317720350715273	0.701	143.49171528445976	77.22859944216412	1.8755432723382444	3332
012992	2003	012992	2003	162.36933797909407	14.476735635824745	0.548	132.78047812620983	29.588859852884227	0.9638500578755231	3332
012992	2004	012992	2004	187.13235729249269	8.990380293086398	0.54	146.51863512090046	40.613722171592244	0.5827518594384989	3332
012992	2005	012992	2005	197.27864034538143	9.819020661064926	0.534	155.16277125314684	42.11586909223459	0.6838337429212522	3332
012992	2006	012992	2006	198.32609152321248	8.019098922624877	0.551	153.66427078841753	44.66182073479496	0.9662190516156107	3332
012992	2007	012992	2007	215.8551087969659	8.9128305582762	0.717	160.700657817204	55.15445097976192	0.7630299673866223	3332
012992	2008	012992	2008	242.44942344782308	14.12296940552738	0.699	188.33087118880547	54.118552259017605	1.8557010092934947	3332
012992	2009	012992	2009	176.572	15.400149588631264	0.574	140.070898	36.501102	1.048	3332
012992	2010	012992	2010	147.4565954899222	13.49244649601343	0.67	108.03789662741968	39.418698862502495	0.6099009900990099	3332
