ID	SEX	OCC	AGE	POB	HOURS	TERMS	COLLEGE	EARNMO	TOTEAR	COLYR	BOARD	DEP	PERIOD	BENESOC	INSUR	SAVINGS	IFDEBT	WHYDEBT	TEXTBK	OWNHM
122	1	1	24	10	6.00	1	2	55.00	125.00	200.00	20.00	-9	4	-9	-9	2	-9	-9	1	-9
123	1	1	26	10	6.00	7	-9	80.00	760.00	500.00	16.00	2	4	-9	-9	2	-9	-9	1	-9
124	1	1	24	10	6.00	8	-9	45.00	310.00	125.00	-9.00	-9	4	-9	-9	2	-9	-9	1	-9
125	1	1	37	1	6.00	14	-9	33.00	80.00	100.00	10.00	-9	2	-9	-9	2	-9	-9	1	2
126	1	1	34	3	6.00	17	-9	30.00	270.00	700.00	16.00	4	5	-9	1	2	-9	-9	1	2
127	1	1	26	10	6.00	16	2	60.00	540.00	350.00	30.00	-9	4	-9	-9	-9	-9	-9	4	-9
128	1	1	20	10	6.00	3	-9	40.00	325.00	225.00	14.00	-9	4	-9	-9	2	-9	-9	2	-9
129	1	1	23	10	6.00	10	-9	50.00	475.00	350.00	17.00	-9	4	-9	-9	2	-9	-9	1	-9
130	1	1	30	10	6.00	25	-9	65.00	650.00	500.00	-9.00	2	4	-9	2	2	-9	-9	2	2
131	1	3	27	10	9.00	19	2	125.00	1500.00	700.00	16.00	1	4	2	2	2	-9	-9	1	-9
132	1	1	20	10	6.00	2	-9	19.00	-9.00	-9.00	11.00	-9	4	-9	-9	-9	-9	-9	1	-9
133	1	1	20	10	6.00	4	-9	35.00	157.00	-9.00	8.00	-9	4	-9	-9	2	-9	-9	2	-9
134	1	1	19	10	6.00	-8	-9	30.00	-9.00	200.00	10.00	-9	4	-9	-9	-9	-9	-9	1	-9
135	1	1	23	10	6.00	2	-9	30.00	-9.00	120.00	10.00	-9	5	-9	-9	2	-9	-9	2	-9
136	1	1	33	10	6.00	27	-9	65.00	585.00	300.00	14.00	2	5	-9	-9	2	2	5	2	2
137	1	1	21	10	7.00	-8	2	25.00	-9.00	300.00	10.00	-9	2	-9	-9	-9	-9	-9	2	-9
138	1	1	22	10	6.00	5	-9	28.50	275.00	75.00	-9.00	-9	4	-9	-9	2	-9	-9	2	-9
139	1	1	23	10	8.00	6	-9	35.00	375.00	240.00	12.00	-9	4	-9	-9	2	2	-9	3	-9
140	1	1	22	10	8.00	2	-9	35.00	-9.00	-9.00	-9.00	-9	4	-9	-9	-9	-9	-9	2	-9
141	1	1	32	10	6.00	10	-9	40.00	400.00	-9.00	10.00	4	4	-9	1	2	-9	-9	2	2
142	1	2	31	10	6.00	30	2	100.00	1000.00	600.00	16.00	-9	4	-9	-9	2	-9	-9	2	-9
143	1	1	23	10	7.00	3	-9	39.00	-9.00	-9.00	8.00	-9	2	-9	-9	2	-9	-9	2	-9
144	1	1	21	10	6.00	1	-9	30.00	75.00	-9.00	-9.00	-9	4	-9	-9	-9	2	3	2	-9
145	1	1	38	10	6.00	38	-9	50.00	400.00	150.00	12.50	-9	5	-9	-9	2	-9	-9	1	2
146	1	1	25	10	6.00	6	-9	40.00	280.00	175.00	10.00	2	5	-9	-9	2	2	6	2	-9
147	1	1	38	10	6.00	8	-9	30.00	-9.00	-9.00	8.00	-9	2	-9	2	2	2	-9	1	-9
148	1	1	25	10	7.00	7	2	30.00	270.00	60.00	-9.00	-9	4	-9	-9	-9	-9	-9	2	-9
149	1	1	22	10	6.00	1	-9	30.00	-9.00	-9.00	12.00	-9	5	-9	-9	2	2	4	2	-9
150	1	1	49	4	6.00	51	2	40.00	450.00	582.00	12.00	10	4	2	2	2	2	-9	1	-9
151	1	1	23	10	6.00	6	-9	45.00	405.00	225.00	-9.00	1	4	-9	-9	-9	-9	-9	1	-9
152	1	1	20	10	7.00	2	-9	30.00	240.00	150.00	10.00	5	4	-9	-9	-9	-9	-9	1	-9
153	1	1	43	10	6.00	18	-9	35.00	-9.00	350.00	10.00	5	4	2	-9	-9	2	-9	4	2
154	1	1	24	10	7.00	8	-9	31.00	282.00	180.00	8.00	-9	4	-9	-9	2	-9	-9	-9	-9
155	1	1	21	10	6.00	3	-9	30.00	225.00	-9.00	10.00	-9	2	-9	-9	2	-9	-9	2	-9
156	1	1	46	3	6.00	48	2	50.00	500.00	500.00	-9.00	2	4	2	2	-9	-9	-9	2	-9
157	1	1	26	10	6.00	5	-9	35.00	300.00	150.00	8.00	-9	4	-9	-9	2	2	-9	2	2
158	1	1	22	10	6.00	4	2	50.00	500.00	372.00	16.00	2	4	-9	-9	2	-9	-9	1	2
159	1	1	26	10	6.00	12	2	75.00	-9.00	400.00	20.00	1	4	-9	2	-9	-9	-9	1	-9
160	1	2	35	10	6.00	39	-9	133.00	1175.00	450.00	32.00	2	4	-9	2	2	-9	-9	1	-9
161	1	1	31	10	7.00	10	-9	45.00	340.00	168.00	13.00	-9	4	-9	-9	2	-9	-9	2	-9
